so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,64,0.002,0.5,,,1,27,2,18,경남,,1,,2,,2023-05-25 07:00,1,0.012,대산면,2,0.014
1,,47,0.005,0.4,,,1,20,1,12,경남,,1,,1,,2023-05-25 07:00,1,0.028,북부동,1,0.006
1,,38,0.002,0.3,,,1,21,1,7,경남,,1,,1,,2023-05-25 07:00,1,0.023,삼호동,1,0.014
1,,56,0.005,0.5,,,1,26,2,20,경남,,1,,2,,2023-05-25 07:00,1,0.026,물금읍,1,0.010
1,,47,0.005,0.5,,,1,28,1,14,울산,,1,,1,,2023-05-25 07:00,1,0.024,화산리,1,0.017
1,,43,0.003,0.4,,,1,20,1,14,울산,,1,,1,,2023-05-25 07:00,1,0.022,상남리,1,0.006
1,,32,0.003,0.4,,,1,6,1,3,울산,,1,,1,,2023-05-25 07:00,1,0.019,농소동,1,0.006
1,,64,0.004,0.5,,,1,23,2,21,울산,,1,,2,,2023-05-25 07:00,1,0.011,삼남읍,1,0.019
1,,45,0.004,0.5,,,1,31,1,10,울산,,1,,1,,2023-05-25 07:00,1,0.019,약사동,1,0.013
1,,59,0.004,0.5,,,1,23,2,19,울산,,1,,2,,2023-05-25 07:00,1,0.020,웅촌면,1,0.008
1,,56,0.002,0.5,,,1,21,2,19,울산,,1,,2,,2023-05-25 07:00,1,0.016,범서읍,1,0.008
1,,38,0.003,0.5,,,1,30,1,11,울산,,1,,1,,2023-05-25 07:00,1,0.022,북부순환도로,1,0.008
1,,43,0.002,0.4,,,1,18,1,16,울산,,1,,1,,2023-05-25 07:00,1,0.018,송정동 대기환경측정소,1,0.010
1,,40,0.002,0.4,,,1,26,1,11,울산,,1,,1,,2023-05-25 07:00,1,0.024,전하동,1,0.015
1,,56,0.003,0.2,,,1,30,2,16,경남,,1,,2,,2023-05-25 07:00,1,0.014,내일동,2,0.024
1,,43,0.002,0.3,,,1,15,1,7,경남,,1,,1,,2023-05-25 07:00,1,0.017,무전동,1,0.026
1,,50,0.002,0.3,,,1,22,1,13,경남,,1,,1,,2023-05-25 07:00,1,0.008,고성읍,1,0.029
1,,54,0.002,0.4,,,1,35,2,20,경남,,1,,2,,2023-05-25 07:00,1,0.018,거창읍,2,0.013
1,,40,0.002,0.4,,,1,21,1,12,경남,,1,,1,,2023-05-25 07:00,1,0.007,가야읍,1,0.023
1,,66,0.002,0.5,,,1,38,2,20,경남,,1,,2,,2023-05-25 07:00,1,0.014,함양읍,2,0.018
1,,50,0.002,0.4,,,1,24,1,12,경남,,1,,1,,2023-05-25 07:00,1,0.009,남해읍,1,0.029
,,,,,,,,,,,경남,,,,,,,,,산청읍,,
1,,-,0.002,0.4,,통신장애,1,-,,26,경남,,1,,2,,2023-05-25 07:00,1,0.020,남상면,,0.007
1,,66,0.003,0.3,,,1,29,2,20,경남,,1,,2,,2023-05-25 07:00,1,0.013,의령읍,2,0.022
1,,59,0.003,0.3,,,1,34,2,20,경남,,1,,2,,2023-05-25 07:00,1,0.021,창녕읍,2,0.016
1,,66,0.003,0.4,,,1,39,2,22,경남,,1,,2,,2023-05-25 07:00,1,0.014,합천읍,2,0.020
1,,59,0.002,0.3,,,1,42,2,19,경남,,2,,1,,2023-05-25 07:00,1,0.035,마산항,1,0.005
1,,62,0.004,0.5,,,1,54,2,17,울산,,2,,1,,2023-05-25 07:00,1,0.037,울산항,1,0.005
1,,59,0.002,0.3,,,2,29,2,11,광주,,1,,1,,2023-05-25 07:00,1,0.013,서석동,2,0.040
1,,59,0.003,0.3,,,2,34,2,16,광주,,1,,2,,2023-05-25 07:00,1,0.013,농성동,2,0.038
1,,76,0.003,0.4,,,1,58,2,19,광주,,1,,2,,2023-05-25 07:00,1,0.028,치평동,2,0.022
1,,59,0.003,0.7,,,2,35,2,15,광주,,1,,2,,2023-05-25 07:00,1,0.008,노대동,2,0.034
1,,72,0.003,0.4,,,1,60,2,23,광주,,2,,2,,2023-05-25 07:00,1,0.031,유촌동,2,0.020
1,,61,0.003,0.4,,,1,39,2,14,광주,,1,,1,,2023-05-25 07:00,1,0.027,두암동,2,0.026
1,,82,0.003,0.4,,,1,47,2,18,광주,,2,,2,,2023-05-25 07:00,1,0.049,운암동,2,0.010
1,,63,0.002,0.3,,,1,40,2,18,광주,,1,,2,,2023-05-25 07:00,1,0.017,건국동,2,0.028
1,,60,0.002,0.3,,,2,35,2,15,광주,,1,,1,,2023-05-25 07:00,1,0.008,일곡동,2,0.042
1,,68,0.003,0.4,,,1,46,2,19,광주,,1,,2,,2023-05-25 07:00,1,0.021,오선동,2,0.023
1,,67,0.003,0.3,,,1,48,2,18,광주,,2,,2,,2023-05-25 07:00,1,0.032,우산동(광주),2,0.016
1,,72,0.003,0.4,,,1,51,2,21,광주,,1,,2,,2023-05-25 07:00,1,0.024,평동,2,0.012
1,,61,0.003,0.3,,,2,34,2,18,광주,,1,,2,,2023-05-25 07:00,1,0.019,주월동,2,0.031
1,,75,0.002,0.4,,,1,42,2,15,전북,,1,,2,,2023-05-25 07:00,1,0.014,노송동,2,0.028
1,,86,0.003,0.4,,,2,61,2,19,전남,,1,,2,,2023-05-25 07:00,1,0.013,용당동,2,0.034
1,,73,0.003,0.4,,,1,47,2,11,전남,,2,,1,,2023-05-25 07:00,1,0.030,부흥동,2,0.022
1,,65,0.002,0.3,,,2,17,2,6,전남,,1,,1,,2023-05-25 07:00,1,0.013,서강동,2,0.031
1,,-,0.008,0.5,,통신장애,1,-,,8,전남,,1,,2,,2023-05-25 07:00,1,0.023,월내동,,0.027
1,,72,0.002,0.3,,,1,21,2,8,전남,,1,,1,,2023-05-25 07:00,1,0.014,문수동,2,0.030
1,,-,0.001,0.2,,통신장애,2,-,,11,전남,,1,,2,,2023-05-25 07:00,1,0.013,여천동(여수),,0.031
1,,56,0.002,0.4,,,2,12,2,10,전남,,1,,2,,2023-05-25 07:00,1,0.018,덕충동,2,0.030
1,,54,0.002,0.3,,,1,37,2,18,전남,,1,,1,,2023-05-25 07:00,1,0.008,장천동,2,0.028
1,,62,0.002,0.3,,,1,44,2,22,전남,,1,,2,,2023-05-25 07:00,1,0.020,연향동,2,0.018
1,,66,0.001,0.4,,,1,43,2,28,전남,,1,,2,,2023-05-25 07:00,1,0.012,순천만,2,0.022
1,,78,0.002,0.3,,,1,65,2,31,전남,,1,,2,,2023-05-25 07:00,1,0.010,호두리,2,0.022
1,,72,0.002,0.3,,,1,46,2,25,전남,,1,,2,,2023-05-25 07:00,1,0.021,신대,2,0.017
1,,67,0.002,0.2,,,1,42,2,19,전남,,1,,2,,2023-05-25 07:00,1,0.010,빛가람동,2,0.023
1,,69,0.002,0.3,,,1,45,2,18,전남,,1,,2,,2023-05-25 07:00,1,0.010,담양읍,2,0.029
1,,69,0.001,0.2,,,1,34,2,24,전남,,1,,2,,2023-05-25 07:00,1,0.020,장성읍,2,0.019
1,,74,0.002,0.3,,,1,46,2,22,전남,,1,,2,,2023-05-25 07:00,1,0.010,화양면,2,0.026
1,,76,0.001,0.5,,,1,51,2,21,전남,,1,,2,,2023-05-25 07:00,1,0.018,율촌면,2,0.013
1,,65,0.001,0.3,,,1,21,2,10,전남,,1,,2,,2023-05-25 07:00,1,0.013,삼일동,2,0.020
1,,89,0.003,0.3,,,2,68,2,27,전남,,1,,2,,2023-05-25 07:00,1,0.012,중동(유해+중금속),2,0.036
1,,76,0.005,0.4,,,1,45,2,25,전남,,1,,2,,2023-05-25 07:00,1,0.013,태인동,2,0.018
1,,67,0.002,0.4,,,1,44,2,19,전남,,1,,2,,2023-05-25 07:00,1,0.016,광양읍,2,0.019
1,,64,0.002,0.2,,,1,33,2,23,전남,,1,,2,,2023-05-25 07:00,1,0.006,봉강면,2,0.021
1,,76,0.003,0.3,,,1,53,2,20,전남,,1,,2,,2023-05-25 07:00,1,0.026,진월면,2,0.012
1,,-,0.003,0.4,통신장애,통신장애,1,-,,-,전남,,1,,,,2023-05-25 07:00,1,0.013,해남읍,,0.020
1,,71,0.001,0.4,,,1,46,2,19,전남,,1,,2,,2023-05-25 07:00,1,0.005,대불,2,0.027
1,,68,0.002,0.3,,,1,43,2,11,전남,,1,,2,,2023-05-25 07:00,1,0.013,영암읍,2,0.022
1,,52,0.002,0.2,,,2,26,2,12,전남,,1,,1,,2023-05-25 07:00,1,0.003,송단리,1,0.031
1,,63,0.004,0.3,,,1,42,2,12,전남,,1,,2,,2023-05-25 07:00,1,0.012,화순읍,2,0.027
1,,74,0.002,0.3,,,1,48,2,24,전남,,1,,2,,2023-05-25 07:00,1,0.008,영광읍,2,0.027
1,,77,0.001,0.5,,,2,56,2,22,전남,,1,,2,,2023-05-25 07:00,1,0.008,안마도,2,0.048
1,,74,0.002,0.3,,,1,35,2,16,전남,,1,,2,,2023-05-25 07:00,1,0.006,장흥읍,2,0.030
1,,58,0.003,0.5,,,2,27,2,12,전남,,1,,1,,2023-05-25 07:00,1,0.005,진도읍,2,0.039
1,,84,0.002,0.3,,,1,46,2,19,전남,,1,,2,,2023-05-25 07:00,1,0.004,신지면,2,0.023
1,,73,0.003,0.3,,,2,54,2,15,전남,,1,,1,,2023-05-25 07:00,1,0.012,함평읍,2,0.031
1,,70,0.001,0.4,,,1,52,2,22,전남,,1,,2,,2023-05-25 07:00,1,0.012,고흥읍,2,0.022
1,,81,0.002,0.2,,,2,50,2,18,전남,,1,,2,,2023-05-25 07:00,1,0.005,신안군,2,0.035
1,,78,0.002,0.3,,,2,69,2,34,전남,,1,,2,,2023-05-25 07:00,1,0.008,홍도,2,0.048
1,,72,0.001,0.2,,,2,34,2,12,전남,,1,,1,,2023-05-25 07:00,1,0.003,가거도,1,0.056
1,,73,0.003,0.3,,,1,52,2,16,전남,,1,,1,,2023-05-25 07:00,1,0.011,무안읍,2,0.028
1,,67,0.003,0.3,,,2,41,2,18,전남,,1,,2,,2023-05-25 07:00,1,0.006,강진읍,2,0.031
1,,65,0.003,0.4,,,1,40,2,15,전남,,1,,1,,2023-05-25 07:00,1,0.006,곡성읍,2,0.026
1,,72,0.002,0.4,,,1,46,2,13,전남,,1,,2,,2023-05-25 07:00,1,0.008,구례읍,2,0.016
1,,59,0.002,0.3,,,1,39,2,15,전남,,1,,2,,2023-05-25 07:00,1,0.010,벌교읍,2,0.015
1,,67,0.002,0.3,,,1,44,2,18,전남,,1,,2,,2023-05-25 07:00,1,0.005,보성읍,2,0.013
1,,84,0.002,0.3,,,2,68,2,33,전남,,1,,2,,2023-05-25 07:00,1,0.012,목포항,2,0.035
1,,79,0.004,0.5,,,1,58,2,23,전남,,1,,2,,2023-05-25 07:00,1,0.022,광양항,2,0.025
1,,63,0.003,0.3,,,2,22,2,10,전남,,2,,2,,2023-05-25 07:00,1,0.033,여수항,2,0.034
1,,84,0.003,0.3,,,1,87,2,35,전남,,1,,2,,2023-05-25 07:00,1,0.016,광양 중마,2,0.024
1,,81,0.003,0.2,,,2,57,2,31,전남,,1,,2,,2023-05-25 07:00,1,0.013,광양 율촌,2,0.033
1,,65,0.001,0.2,,,2,40,2,12,제주,,1,,1,,2023-05-25 07:00,1,0.010,이도동,2,0.045
1,,59,0.002,0.1,,,2,28,2,14,제주,,1,,2,,2023-05-25 07:00,1,0.009,연동,2,0.037
,통신장애,-,-,-,통신장애,통신장애,,-,,-,제주,통신장애,,통신장애,,통신장애,2023-05-25 07:00,,-,조천읍,,-
1,,57,0.001,0.1,,,1,42,2,20,제주,,1,,2,,2023-05-25 07:00,1,0.016,한림읍,2,0.019
1,,60,0.001,0.3,,,2,43,2,14,제주,,1,,1,,2023-05-25 07:00,1,0.014,화북동,2,0.032
1,,56,0.002,0.1,,,1,25,2,17,제주,,1,,2,,2023-05-25 07:00,1,0.010,애월읍,2,0.028
1,,65,0.002,0.1,,,2,53,2,19,제주,,1,,1,,2023-05-25 07:00,1,0.009,동홍동,2,0.047
1,,63,0.001,0.2,,,1,43,2,16,제주,,1,,2,,2023-05-25 07:00,1,0.006,성산읍,2,0.022
1,,60,0.001,0.4,,,2,52,2,21,제주,,1,,1,,2023-05-25 07:00,1,0.007,남원읍,2,0.042
1,,71,0.001,0.3,,,2,77,2,36,제주,,1,,2,,2023-05-25 07:00,1,0.007,강정동,2,0.055
1,,69,0.002,0.2,,,2,43,2,15,제주,,1,,1,,2023-05-25 07:00,1,0.007,대정읍,1,0.052
1,,60,0.002,0.5,,,1,31,2,8,제주,,1,,1,,2023-05-25 07:00,1,0.029,노형로,2,0.020
,통신장애,-,-,-,통신장애,,,13,,-,제주,통신장애,,통신장애,,통신장애,2023-05-25 07:00,,-,고산리,1,-
1,,56,0.003,0.1,,,1,34,2,16,대구,,1,,2,,2023-05-25 07:00,1,0.019,남산1동,2,0.015
1,,54,0.002,0.4,,,1,35,2,22,대구,,1,,2,,2023-05-25 07:00,1,0.021,수창동,2,0.017
1,,54,0.002,0.5,,,1,31,2,17,대구,,1,,2,,2023-05-25 07:00,1,0.018,지산동,2,0.014
1,,50,0.002,0.5,,,1,29,1,17,대구,,1,,1,,2023-05-25 07:00,1,0.021,서호동,1,0.013
1,,75,0.003,0.4,,,1,46,2,20,인천,,2,,2,,2023-05-25 07:00,1,0.045,아암,2,0.012
1,,75,0.003,0.6,,,1,57,2,22,인천,,2,,2,,2023-05-25 07:00,1,0.045,원당,2,0.008
1,,54,0.002,0.4,,,1,39,2,20,인천,,1,,2,,2023-05-25 07:00,1,0.015,길상,2,0.025
1,,66,0.004,0.4,,,1,39,2,27,인천,,2,,2,,2023-05-25 07:00,1,0.035,삼산,2,0.019
1,,62,0.004,0.3,,,1,78,2,36,인천,,2,,2,,2023-05-25 07:00,1,0.037,경인항,2,0.019
