구분,방직 당월 (억 미터),화학섬유 당월 (만 톤),에틸렌 당월 (만 톤),플라스틱원료 당월 (만 톤),플라스틱제품 당월 (만 톤),선철 당월 (만 톤),조강 당월 (만 톤),강재 당월 (만 톤),비철금속 당월 (만 톤),금속절삭기계 당월 (만 대),소형트랙터 당월 (만 대),대기오염방지설비 당월 (만 대),공업용로봇 당월 (대),발전설비 당월 (만 kW),자동차 당월 (만 대),조선 당월 (만 톤),세탁기 당월 (만 대),냉장고 당월 (만 대),에어컨 당월 (만 대),컬러TV 당월 (만 대),컴퓨터 당월 (만 대),반도체 당월 (억 장),핸드폰 당월 (만 대)
2021년4월,33.8,582.9,220.9,905.5,706.9,7597.2,9784.6,12127.5,548.4,5.9,1.9,41964.0,30178.0,1090.1,227.3,264.8,772.0,772.9,2421.0,1514.2,3750.7,286.5,12754.0
2021년5월,34.1,584.7,228.0,920.6,694.5,7815.0,9945.4,12469.4,545.0,5.8,1.6,37865.0,29743.0,1287.6,209.6,245.9,703.2,748.7,2205.8,1442.9,3764.3,298.7,13235.3
2021년6월,36.0,585.6,232.5,932.7,721.3,7578.2,9387.5,12072.3,549.0,5.7,1.7,37389.0,36383.0,1418.9,203.8,319.0,664.0,742.5,2167.0,1396.5,4300.2,308.2,14322.4
2021년7월,34.4,597.0,237.7,900.5,677.5,7284.9,8679.0,11099.7,536.7,5.1,1.2,34570.0,31342.0,1107.9,185.3,156.2,623.8,741.0,1801.8,1338.7,3738.2,315.7,12692.3
2021년8월,33.5,585.5,231.0,906.3,680.8,7153.4,8323.9,10880.4,529.5,4.8,1.3,36489.4,32828.0,1365.3,173.4,234.0,673.8,736.4,1491.2,1569.4,3983.1,320.8,13316.2
2021년9월,33.7,534.0,222.5,877.8,690.1,6518.7,7375.0,10195.1,523.4,4.8,1.2,37007.0,29006.0,1251.3,218.6,212.8,699.5,763.8,1508.1,1748.2,4508.4,304.4,15165.0
2021년10월,34.1,536.7,231.7,906.2,683.6,6302.7,7158.4,10173.7,525.9,4.4,1.4,34115.0,28460.0,1485.9,234.4,286.2,766.8,763.6,1454.9,1759.2,4284.4,300.5,13867.2
2021년11월,37.1,566.1,231.3,942.6,731.6,6173.0,6931.3,10102.9,535.2,4.8,1.6,40829.0,31915.0,1713.3,267.3,357.2,843.8,808.5,1662.8,1765.8,4410.9,300.6,16023.4
2021년12월,39.2,584.9,245.4,978.7,795.2,7209.5,8619.3,11354.8,547.4,5.5,1.7,47263.3,35175.0,1874.1,296.6,277.6,785.6,757.8,1963.5,1888.4,4664.0,299.4,17461.3
2022년 1월,,,,,,,,,,,,,,,,,,,,,,,
2022년 2월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022년 3월,34.7,635.4,236.5,991.9,787.8,7159.8,8829.5,11688.7,563.5,5.8,1.9,58452.0,44322.0,1517.4,238.7,286.4,761.0,867.1,2552.5,1846.0,4244.3,285.0,14384.1
2022년 4월,32.3,539.7,217.8,900.6,661.6,7677.8,9277.5,11482.7,553.1,4.7,1.4,59125.0,32535.0,919.2,128.2,242.0,649.9,652.4,2279.2,1512.7,3266.3,259.3,12693.0
2022년 5월,31.6,566.9,244.4,953.9,688.8,8048.9,9661.3,12261.1,564.4,5.0,1.3,30485.1,36616.0,1486.3,199.3,254.0,679.5,667.0,2182.9,1540.1,3673.0,275.1,12666.0
2022년 6월,33.8,597.8,240.2,940.5,699.6,7687.5,9073.0,11841.7,569.7,5.3,1.4,36774.0,46144.0,1667.9,257.7,306.8,660.6,734.4,2221.4,1552.5,4334.2,288.0,13612.4
2022년 7월,30.8,556.3,224.3,893.7,642.2,7048.6,8142.9,10624.2,562.8,4.6,1.3,32549.3,38183.0,894.8,244.5,228.8,657.7,728.8,1829.9,1650.0,3567.2,272.2,12049.7
2022년8월,30.2,558.6,222.0,894.4,644.1,7137.4,8386.8,10832.9,573.6,4.5,1.3,53049.6,41261.0,1174.7,242.6,252.9,690.5,702.3,1607.2,1802.1,3302.4,247.4,12771.7
2022년9월,32.1,579.6,244.5,961.9,692.0,7393.9,8694.9,11618.8,578.3,4.4,1.3,40174.0,43009.0,2183.6,275.8,240.6,870.3,799.5,1858.0,2096.9,3985.3,261.4,15584.1
2022년10월,31.8,579.2,261.3,966.0,668.5,7082.9,7975.9,11484.7,585.2,4.3,1.5,39240.0,39030.0,1934.4,255.9,219.1,880.6,690.0,1443.2,1926.2,3627.7,224.8,15413.5
2022년11월,33.0,550.9,250.9,978.6,697.8,6798.6,7454.4,10918.6,588.1,4.6,1.6,50512.3,40113.0,1901.4,242.3,234.7,953.1,758.6,1513.2,1783.1,3220.6,260.3,14169.8
2022년12월,34.7,523.6,264.7,1012.9,718.3,6899.8,7788.9,11193.4,594.6,5.3,1.4,63269.0,40457.0,2616.4,248.8,255.9,836.4,745.1,1770.5,1727.3,3806.4,284.1,14310.3
2023년 1월,,,,,,,,,,,,,,,,,,,,,,,
2023년 2월,,,,,,,,,,,,,,,,,,,,,,,
2023년 3월,30.8,657.2,261.2,1026.9,732.9,7806.8,9572.6,12724.7,627.6,6.3,2.2,44434.0,43883.0,1826.5,260.8,312.1,907.0,936.3,2930.7,1869.0,3499.7,294.0,14216.5
